"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"501","A2066728","33 Vandoos Gardens NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$450,000","$450,000.00","$435,000.00","$376.00","888","2","2","Bungalow, Side by Side","6","0","No","1988","1","44","09/01/2023","Calgary"
"501","A2062256","5400 Dalhousie Drive NW Unit#62","Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$419,000","$419,000.00","$435,000.00","$518.17","1,472","3","2","2 Storey","6","1","Yes","1975","1","19","07/19/2023","Calgary"
"501","A2061725","97 Copperpond Landing SE","Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$425,000","$425,000.00","$435,000.00","$290.00","1,209","3","2","Townhouse","6","1","Yes","2014","1","9","07/20/2023","Calgary"
"501","A2059589","167 Copperpond Villas SE","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash","S","$424,900","$424,900.00","$435,000.00","$368.86","1,571","2","2","3 Storey","5","1","Yes","2015","0","12","07/05/2023","Calgary"
"501","A2041318","4935 Dalton Drive NW Unit#201","Insurance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$425,000","$425,000.00","$435,000.00","$379.37","1,370","3","2","2 Storey","6","1","Yes","1977","1","12","08/09/2023","Calgary"
"501","A2089518","131 Evansview Gardens NW","Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$439,900","$439,900.00","$434,500.00","$277.36","1,151","2","2","3 Storey","6","1","Yes","2011","0","11","11/06/2023","Calgary"
"501","A2081621","206 SKYVIEW POINT Place NE","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$428,800","$428,800.00","$434,400.00","$337.74","1,394","3","2","3 Storey","7","1","Yes","2012","0","13","10/05/2023","Calgary"
"501","A2095247","291 Skyview Ranch Road NE","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions","S","$440,000","$440,000.00","$434,000.00","$413.40","1,363","3","2","3 Storey","7","1","Yes","2013","0","26","01/08/2024","Calgary"
"501","A2097507","300 Evanscreek Court NW Unit#6","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$433,888","$433,888.00","$433,888.00","$353.80","1,308","2","1","2 Storey","6","1","Yes","2006","0","6","12/19/2023","Calgary"
"501","A2071627","97 Pantego Lane NW","Amenities of HOA/Condo, Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, See Remarks, Snow Removal, Trash","S","$409,000","$409,000.00","$433,800.00","$297.28","1,113","3","2","2 Storey","7","1","Yes","2010","0","15","08/24/2023","Calgary"
"501","A2087600","5810 Patina Drive SW Unit#27","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal","S","$435,000","$435,000.00","$433,500.00","$481.90","1,455","2","2","2 Storey","7","1","Yes","1990","2","18","11/01/2023","Calgary"
"501","A2068337","229 Citadel Lane NW","Common Area Maintenance, Insurance, Maintenance Grounds, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$425,000","$425,000.00","$433,500.00","$488.23","1,400","2","1","2 Storey","6","2","Yes","1995","2","13","08/08/2023","Calgary"
